id	logFC	AveExpr	t	P.Value	adj.P.Val	B
BTBD2	-0.576459727011494	10.2433590566038	-5.0563365728337	4.93686725997902e-06	0.00103808111497894	3.99033316926282
XPC	-0.372063587643682	9.09419424528302	-5.05021094010362	5.04659312158605e-06	0.00103808111497894	3.96992934735199
PDHA1	-0.29086292672414	7.82246296226415	-5.04580182001221	5.12705212780988e-06	0.00103808111497894	3.95524820504412
GTF2B	0.426111346264365	8.61308105660377	5.04330559280949	5.17316170255285e-06	0.00103808111497894	3.94693838441812
NDUFB3	0.578537112068963	9.06357879245283	5.02779419978897	5.46895666701483e-06	0.00107000137190145	3.89533298684551
EP400	-0.27285216666667	7.82146569811321	-5.01635156378125	5.6977549962219e-06	0.00107164949481523	3.85729885409908
CENPB	-0.355670793103448	10.6367736792453	-5.01374137273298	5.75124952494756e-06	0.00107164949481523	3.84862701342328
PLOD2	0.584846718390802	7.51242130188679	4.98991931838423	6.26283697234886e-06	0.00113983632896749	3.76955504432605
ECHS1	-0.398498313218392	9.39970416981132	-4.98029307543586	6.48201767295821e-06	0.00114989832017474	3.73764003641495
TXN	0.718422165229882	11.5219389622642	4.97473473089505	6.61198880754709e-06	0.00114989832017474	3.71922162878229
ALDH3A2	-0.464112106321837	8.23527928301887	-4.96316470521544	6.89079373095216e-06	0.00117233373344417	3.68090581120598
STK17B	0.613371377873559	7.73399950943396	4.95172363636278	7.17783213324777e-06	0.00119518541010206	3.64304806149015
SCRIB	-0.293570553160919	8.27678326415094	-4.93786367931252	7.54131217376015e-06	0.00122954810566348	3.59722800355455
POLD2	-0.718417264367817	9.46718709433962	-4.92768782542755	7.81961839554529e-06	0.00124890476660281	3.56361659836444
VCAN	1.04839311637931	9.88574418867925	4.89846675938212	8.67604369621522e-06	0.00132784144760294	3.46723713062683
DDIT3	0.486752683908044	8.99085520754717	4.8971407409797	8.71701642336006e-06	0.00132784144760294	3.46286848596241
LARP1	-0.390902163793106	9.39954888679245	-4.89374315943002	8.82286676148136e-06	0.00132784144760294	3.4516769295166
U2AF2	-0.277272705459778	9.18590303773585	-4.88513371994487	9.09676848909211e-06	0.00134323226784217	3.42333037817324
S100P	1.06271616522988	9.14694724528302	4.87214785189786	9.52574957824398e-06	0.00137169365844262	3.38060921273655
VEGFB	-0.454878642241377	9.57543426415094	-4.86479003638538	9.77755151025977e-06	0.00137169365844262	3.35642199418986
ABR	-0.343155239942529	9.61645160377359	-4.86370191912603	9.81533923751428e-06	0.00137169365844262	3.35284619664996
IL10RA	-0.503448662356321	9.18103913207547	-4.85742963264742	1.00359689392585e-05	0.00137792092839715	3.33223985704647
IDH3B	-0.342456757183911	9.83010679245283	-4.84480126145161	1.04950268491959e-05	0.0014084603428811	3.29078199551695
DDB1	-0.471791047413792	10.1999520566038	-4.84150114580087	1.06183440109871e-05	0.0014084603428811	3.27995466245518
GNPDA1	-0.397272122126441	10.0326063962264	-4.80951474026695	1.18896270179454e-05	0.00155080368404068	3.17515514265418
HK2	0.514883211206897	8.4130049245283	4.79067535307888	1.27069605778044e-05	0.00163024054888356	3.11355418753499
MAGOH	0.38892854022988	8.73097062264151	4.78165120290654	1.31177187835765e-05	0.00164371667948916	3.08408001306512
GSTP1	-0.499566241379311	11.7689194339623	-4.77918827537401	1.32320662928466e-05	0.00164371667948916	3.07603946804733
HIRIP3	-0.597895795977013	7.50427988679245	-4.76770035655492	1.3778446449059e-05	0.00164668395178828	3.03855690775138
ZNF330	-0.345631952586206	8.21484275471698	-4.76632485634365	1.38453298915621e-05	0.00164668395178828	3.03407130372479
PPP2R1A	-0.477429307471267	10.6081276792453	-4.7654673044884	1.38871889621808e-05	0.00164668395178828	3.03127502134073
TAF6L	-0.322906412356328	8.2483051509434	-4.73258072265124	1.55893924550441e-05	0.00182093410974889	2.92418827141125
LOC441155	0.303006331896551	8.40800279245283	4.71036011722353	1.68534281341246e-05	0.00193963130261264	2.8519987488104
ALOX15	-0.501483504310343	6.56351549056604	-4.67996187368474	1.87462987957049e-05	0.00212621064311865	2.75346280982535
TAF15	-0.476066109195404	9.88074383018868	-4.67198016569175	1.92768275512893e-05	0.00213493001009979	2.72763288927381
PDHB	-0.330021962643686	10.1784765283019	-4.67061871135411	1.93687746891241e-05	0.00213493001009979	2.72322882391511
PCSK7	-0.495681208333336	9.07662041509434	-4.64900523209667	2.08872053771736e-05	0.00227032318446889	2.65338334970458
NUP62	-0.462093975574721	10.0948105849057	-4.64128605771522	2.14572197228193e-05	0.00230033152809293	2.62847055628716
SLPI	1.07496640373563	8.49419862264151	4.61868008404603	2.32153930264395e-05	0.00243269998318922	2.55561089486797
QDPR	-0.32690195402299	8.23971345283019	-4.61746680362665	2.33136338792732e-05	0.00243269998318922	2.55170464347585
ARHGAP1	-0.406940270114939	10.8085987358491	-4.58326440935589	2.62563580080909e-05	0.00264216422614999	2.44176467555887
ZMYND8	-0.327286074712643	6.77515977358491	-4.58245792870076	2.63299501421586e-05	0.00264216422614999	2.43917649063798
ARL2	-0.35128546551724	10.1503356981132	-4.57987377995543	2.65671152090479e-05	0.00264216422614999	2.43088465397419
ATIC	-0.416077343390805	9.15154283018868	-4.5787437900002	2.66714763437068e-05	0.00264216422614999	2.42725944438318
AIM2	0.611250363505746	6.91956003773585	4.56798632580185	2.76852431782976e-05	0.00270830891391696	2.39276662872788
CD81	-0.4100101408046	12.741017245283	-4.56377372906636	2.80923970550079e-05	0.00271421110311719	2.37926874946389
NEDD9	0.655471804597702	7.06534271698113	4.55383374442754	2.90764141723293e-05	0.00277502460137377	2.34744046019843
DDX23	-0.287652810344829	8.80453256603774	-4.54653508723066	2.98202872351238e-05	0.00281172973375999	2.32408878732573
TNFAIP6	1.29329083764368	9.47369724528302	4.53282616319711	3.1268007465785e-05	0.00285079611799042	2.28027145831341
ANXA7	-0.264898283045982	9.70198469811321	-4.53235611910652	3.13188428695101e-05	0.00285079611799042	2.27877008807102
AP1B1	-0.408747002873572	9.53729139622641	-4.53227679383396	3.13274298680266e-05	0.00285079611799042	2.27851672146099
C14orf2	0.427160498563218	8.92014203773585	4.52240880876431	3.24137501677454e-05	0.00289037844336045	2.24701317522269
MIPEP	-0.542391297413795	7.20247898113208	-4.51771435304211	3.29433536999977e-05	0.00289037844336045	2.23203660411831
EML2	-0.356564004310345	8.35291456603774	-4.51550019129725	3.31960633742836e-05	0.00289037844336045	2.22497518751225
NAGPA	-0.3636199066092	9.03394362264151	-4.51511933927391	3.32397214288833e-05	0.00289037844336045	2.22376072437114
FEM1C	0.449419090517242	8.33455443396226	4.50403943327705	3.45346369601261e-05	0.00296997877857084	2.18844865927876
ANXA1	0.709968478448275	11.2110989433962	4.50047805568268	3.49612075046035e-05	0.0029739827166416	2.17710649070505
SRPK1	0.451473854885053	8.69039890566038	4.49360424545589	3.57991048245891e-05	0.00301080393215588	2.15522613370276
ZZEF1	-0.333339886494249	8.75531901886792	-4.49066366578431	3.61635023795876e-05	0.00301080393215588	2.14587032884559
SF3B2	-0.31784106752874	11.807124754717	-4.46455494367542	3.95614963159113e-05	0.00325903442282444	2.062921251188
ORM1	0.904110784482757	7.65173837735849	4.45760140524126	4.05177300498243e-05	0.00330303911843672	2.0408657032637
DFFB	-0.590743224137932	6.36453864150943	-4.45248030800826	4.1236331662559e-05	0.00332696424320811	2.02463220295238
NUCB1	-0.520639821839078	12.3836147735849	-4.44746472868682	4.19521539713146e-05	0.00335017915285212	2.00874129186654
ANAPC5	-0.307258370689654	10.465484245283	-4.43797556483952	4.33397024742604e-05	0.0034260253693289	1.97869869730632
CDC37	-0.266750900862071	11.7503195849057	-4.43060647869684	4.44479773943641e-05	0.00347849871088293	1.95538819972917
CS	-0.274499356321844	10.0493709056604	-4.41961192478141	4.6152974647998e-05	0.00354946951131416	1.9206419145899
CKS2	0.682542360632183	7.90545228301887	4.41636295256535	4.666888815589e-05	0.00354946951131416	1.91038162816026
URM1	-0.338195179597705	9.6008238490566	-4.41607125283679	4.67154816848146e-05	0.00354946951131416	1.90946060531447
SUMO3	-0.313322152298857	10.5369616603774	-4.40729979744689	4.81379041772474e-05	0.00362237728933787	1.88177825058767
RAPGEF1	-0.705667558908047	8.59298705660377	-4.393167188171	5.05188399459391e-05	0.00376533753730399	1.83722923086921
KCNJ15	0.879059919540232	7.62400771698113	4.35679017235814	5.71865953545727e-05	0.00421265732289399	1.72286459631379
EEF2	-0.393673764367817	12.9715434339623	-4.35468798506823	5.75970270316453e-05	0.00421265732289399	1.71626907780179
PRPSAP2	-0.281179722701155	7.95684873584906	-4.34915691442057	5.86906449125329e-05	0.00425289802856928	1.69892268456214
TRRAP	-0.367040489942532	8.76825656603773	-4.34384164933343	5.9760601711379e-05	0.00425691484998906	1.68226280248341
TNFSF12	-0.531147284482762	8.39620449056604	-4.34348058211871	5.98339679911572e-05	0.00425691484998906	1.68113143853683
TBC1D9B	-0.365371413793106	8.62845679245283	-4.33847304957398	6.0860535409008e-05	0.00429094189289096	1.66544543640977
DCTD	-0.299006522988508	9.62737449056604	-4.33087352208021	6.24512562706562e-05	0.0043637815319121	1.64165628882959
SUOX	-0.242286744252876	7.7805909245283	-4.305061064691	6.81617291445913e-05	0.0047206521441201	1.56100144949742
BUD31	0.230095181034477	10.4087718867925	4.3002239876349	6.92868672561577e-05	0.0047564826591815	1.54591273550548
CBX3	0.221308803160916	8.85317903773585	4.28766752444034	7.22924406611066e-05	0.004919657744468	1.50678203794185
COG2	-0.298692567528736	8.52200873584906	-4.28013141554618	7.4156717280053e-05	0.00500302128822151	1.48332296248881
GNB1	-0.170996181034489	11.4034733018868	-4.24096087065999	8.46238038742581e-05	0.00566039221470038	1.36171030136317
PIK3R2	-0.44459148994253	9.368157	-4.2301997807017	8.77418100436813e-05	0.0057618408771108	1.32839554979024
GRB10	0.345468581896553	8.29290360377358	4.22799603485213	8.8393950127568e-05	0.0057618408771108	1.3215781815779
ADD1	-0.321039295977014	11.1682189056604	-4.22620655254331	8.89269563564605e-05	0.0057618408771108	1.31604363262057
SF3B4	-0.318969364942529	9.75087950943396	-4.2256764359161	8.90854518439058e-05	0.0057618408771108	1.31440429704497
LPGAT1	0.325606068965515	8.32629781132075	4.2176033530628	9.15332843581159e-05	0.0058434149928325	1.28945152194389
PGRMC2	-0.338940675287359	9.27644981132075	-4.21660650048297	9.1840026082085e-05	0.0058434149928325	1.28637201541054
CRTAP	-0.326423857758622	8.00042909433962	-4.21160053298139	9.33955467194728e-05	0.00589446410182737	1.27091284904881
B3GNT1	-0.44333939367816	7.6353871509434	-4.203956442322	9.58202171897895e-05	0.00599911215781834	1.24732423936959
F5	0.891284106321838	6.79300433962264	4.19352711902693	9.92269883172815e-05	0.00605108232955557	1.21517497083775
UVRAG	-0.221411097701155	8.35835669811321	-4.19229760626798	9.96362658353033e-05	0.00605108232955557	1.21138750209086
PAFAH1B1	-0.244270570402298	9.72742422641509	-4.19209938084425	9.97024036535649e-05	0.00605108232955557	1.21077692756901
GART	-0.3881113045977	7.79073837735849	-4.19197742494184	9.97431153223445e-05	0.00605108232955557	1.21040128576664
OAS2	-0.487020544540229	9.05812401886793	-4.18211825078537	0.000103088176697536	0.00620590823719169	1.18005157797229
FNBP1	-0.305561475574713	10.7388299433962	-4.17524561394406	0.000105483985574091	0.00629051111032419	1.15891645303208
LOX	0.275332757183911	7.88966098113208	4.17349975942217	0.000106101132962279	0.00629051111032419	1.15355026575393
LIPA	-0.391916451149424	10.3273475660377	-4.16237759837288	0.000110115657219868	0.00643154658540512	1.11939074795584
SNX19	-0.271295002873559	8.77201798113208	-4.16235600263759	0.000110123593463364	0.00643154658540512	1.119324465373
RNH1	-0.342659863505748	9.6910190754717	-4.15806032382211	0.00011171328198179	0.00644698822101912	1.10614341235451
AK1	-0.407761663793103	7.96615337735849	-4.15719664546211	0.000112035573480526	0.00644698822101912	1.10349408878817
TSPYL1	-0.545910533045978	8.25945652830189	-4.15495243522628	0.000112877241924081	0.00644800945472889	1.09661129340974
BCAT2	-0.527351567528735	8.18382343396226	-4.14699237829693	0.000115912241490242	0.00644916866328982	1.07221359636498
THAP11	-0.315792767241383	9.09256898113208	-4.146613934069	0.000116058484704335	0.00644916866328982	1.07105424652087
RNASE3	0.722172477011492	7.02621381132075	4.14508988867756	0.000116649236135526	0.00644916866328982	1.06638593074626
PYCR1	0.297078991379308	7.05319890566038	4.14441985897214	0.000116909873872204	0.00644916866328982	1.06433383159651
SH2B3	-0.31011936494253	9.82058296226415	-4.14414262095295	0.000117017882722611	0.00644916866328982	1.06348478407251
IL1R2	0.868301330459767	8.90858835849057	4.13944837920023	0.000118861441195532	0.00647946414702925	1.04911292517224
PLEKHM2	-0.361271224137933	10.2230967924528	-4.13853484593214	0.000119223465010505	0.00647946414702925	1.04631701578382
ATP5A1	-0.401917791666667	11.769979509434	-4.13324496864227	0.000121340868747187	0.00654905957803784	1.03013325675844
SF3B3	-0.45602005316092	8.06628630188679	-4.12680104739199	0.000123969416831178	0.00661189761509281	1.01043302777734
SLC22A4	0.695221191091952	7.76733033962264	4.12541314622524	0.000124542727858793	0.00661189761509281	1.00619200825739
MAP3K4	-0.283758383620694	8.07593460377358	-4.12168757335542	0.000126094396446552	0.00661189761509281	0.994811338607192
USP11	-0.214255127873569	9.07234560377358	-4.11874734639663	0.000127332167793694	0.00661189761509281	0.985833397433174
SNAPC4	-0.36598704310345	8.69742618867924	-4.11873069840414	0.000127339209598434	0.00661189761509281	0.985782572323487
TSC22D4	-0.339332211206891	11.3935822830189	-4.11766282469716	0.000127791689373962	0.00661189761509281	0.98252265050308
CSF1R	-0.710216191091959	9.9078728490566	-4.11618797599745	0.000128419171670599	0.00661189761509281	0.978021056190921
APEX2	-0.354875652298855	8.14246133962264	-4.09532664713262	0.000137620467981752	0.0070147397385665	0.914435685134611
IRAK3	0.586676781609194	8.34878149056604	4.09441665066994	0.000138036023478053	0.0070147397385665	0.911665788500911
FUCA1	-0.502782714080462	9.70072801886792	-4.09206377372122	0.000139116112467801	0.0070240173946646	0.904505442126386
SH2D2A	-0.48813400574713	7.38702664150943	-4.08382133957692	0.00014296464608157	0.00717205974509211	0.879438549192165
SNAP23	-0.295113139367818	7.73388520754717	-4.0805564631546	0.000144517366085518	0.00720377647761316	0.869516620238385
SPHK2	-0.500509593390809	8.69220730188679	-4.06699554939301	0.000151143006305708	0.00748636181866123	0.828349117849354
CD200	0.47784025143678	7.06677530188679	4.06315915997216	0.00015307007192087	0.0075341281940423	0.816715719436107
SUB1	0.259470620689653	8.88712649056604	4.05866532789554	0.00015535758511521	0.00759892788194772	0.803095969164282
RPL31	0.816268745689655	11.948965490566	4.04056647452895	0.00016490949160953	0.00797027224943685	0.748322284752175
NDUFS7	-0.441796978448277	10.5957659056604	-4.03894861355522	0.000165790441402976	0.00797027224943685	0.743432292125366
DDOST	-0.342627097701152	11.2749479622642	-4.03467414781495	0.000168139878174857	0.00797027224943685	0.730517644653297
PRPF19	-0.413273199712645	8.92690133962264	-4.03466666743015	0.000168144017778283	0.00797027224943685	0.730495050105171
HDAC1	-0.292255689655171	10.832469509434	-4.03465605773996	0.000168149889290756	0.00797027224943685	0.730463003508694
PFN1	-0.34823272126437	12.6329131509434	-4.03301544398464	0.000169060208715374	0.00797027224943685	0.725508058407194
DHRS1	-0.294946350574717	9.48760709433962	-4.02621525977237	0.000172884401227749	0.00810175643118781	0.704981600939599
TPST1	0.872087080459768	7.98490205660377	4.01661941549248	0.000178423174953016	0.00822316179246282	0.676047483190012
ZNF428	-0.526600803160921	10.1080983962264	-4.01615788663598	0.000178693845214824	0.00822316179246282	0.674656765754854
PRPF8	-0.339312114942535	10.3388583207547	-4.01444005344547	0.000179704781091912	0.00822316179246282	0.669481189683821
MTA1	-0.367793045977011	8.29076641509434	-4.0135503823772	0.000180230515797501	0.00822316179246282	0.666801203538034
STK38	-0.274558978448272	11.065091490566	-4.01087731920502	0.00018181906063166	0.00822316179246282	0.658750937446221
NUP214	0.352635031609189	10.3159366603774	4.00962346898309	0.000182568845822546	0.00822316179246282	0.654975788761097
DRG2	-0.255669507183905	8.27723290566038	-4.00776500699056	0.000183685673362438	0.00822316179246282	0.649381398873993
RALGDS	-0.686477011494253	8.67695816981132	-4.00744096506568	0.00018388107764899	0.00822316179246282	0.648406100396235
ATP6V0E1	0.249312866379306	10.7114948490566	3.98788932238911	0.000196049702918763	0.00858869108775184	0.589637381637459
RPL23	0.536823712643677	9.42121939622642	3.98710041189289	0.000196556669343652	0.00858869108775184	0.587269274975251
CLCN7	-0.502317712643677	10.602906245283	-3.98701960832621	0.000196608666346639	0.00858869108775184	0.587026737553949
NDST1	0.348539887931031	8.49980675471698	3.98697122903117	0.000196639804718664	0.00858869108775184	0.586881525054134
TNFRSF14	-0.270865747126434	11.6030997735849	-3.9855725602479	0.000197542089930403	0.00858869108775184	0.582683768648618
LEPROT	0.369165176724135	9.95594641509434	3.98145249752473	0.000200223225001326	0.0086571655185656	0.570323002629793
SF3A3	-0.369389159482759	9.43998552830189	-3.97846874406538	0.000202186785214346	0.00869403176421689	0.561375596328799
CBX7	-0.456144581896552	9.50536883018868	-3.97465622407634	0.000204722784882931	0.00875497548903724	0.549948192656766
GCDH	-0.239699997126442	8.23152298113208	-3.95497317802296	0.000218311186366209	0.00924042204643894	0.491045245148197
CXCR3	-0.504056686781615	8.20468898113208	-3.95462037507597	0.000218562507465999	0.00924042204643894	0.489990894941728
GTPBP6	-0.328699698275869	10.0972996981132	-3.95259127819824	0.00022001336930602	0.00924042204643894	0.483927933690384
RFTN1	-0.473250541666669	9.43477913207547	-3.95150040874791	0.000220797204534128	0.00924042204643894	0.480669100349274
FASN	-0.446121247126438	8.99364875471698	-3.94822853925781	0.000223164356578207	0.00927928590357976	0.470897726156069
MTF1	0.476396057471266	8.94849320754717	3.94674459917255	0.000224246011637669	0.00927928590357976	0.466467412387273
NDUFV1	-0.374946502873561	9.92948450943396	-3.94438758696566	0.000225974449338745	0.00927928590357976	0.459432390228934
MTM1	-0.309850738505749	7.29925311320755	-3.9437168641813	0.000226468643953966	0.00927928590357976	0.457430886647367
RMND5A	0.253656135057471	7.43549439622642	3.93553935074707	0.000232578296751397	0.00947998828321058	0.433043231038635
HMGCL	-0.269423610632185	8.8894780754717	-3.93301041295486	0.0002344996764876	0.0095087796279376	0.425506793781213
LMNB2	-0.257365362068969	8.90180894339623	-3.93111338466103	0.000235950987255652	0.00951831147558108	0.419855227934947
CCDC106	-0.428480665229885	8.04062977358491	-3.92925563807286	0.000237380630116525	0.00952687595534322	0.414322127902412
CD96	-0.803303988505748	7.57970164150943	-3.91969562580584	0.000244870565303202	0.00977733185746357	0.385871214765693
MAPK7	-0.252550303160922	7.76585005660377	-3.91468783319227	0.000248884321527371	0.00984793117582906	0.370982975725929
CLEC10A	-0.379617754310349	7.706329	-3.9143523962449	0.00024915542714211	0.00984793117582906	0.369986089133091
CAPNS1	-0.362085741379316	11.3649321132075	-3.90722274447263	0.000254985442200474	0.00994826263313496	0.348808519295551
ZNF148	0.315479553160918	9.32838867924528	3.90455234209936	0.000257202699270882	0.00994826263313496	0.340881940119237
SLC37A4	-0.319318002873567	8.51624724528302	-3.90399080601943	0.00025767130368514	0.00994826263313496	0.339215506363327
DNAJA3	-0.336506577586208	7.55982750943396	-3.90287025527035	0.000258608866256724	0.00994826263313496	0.335890515143835
LAS1L	-0.513442979885058	7.81989258490566	-3.90248724503968	0.0002589300826395	0.00994826263313496	0.334754135700571
SAMHD1	-0.404314938218395	7.63964411320755	-3.90150923362485	0.000259752047899573	0.00994826263313496	0.331852684445559
ADA	-0.509350602011494	9.26411501886792	-3.90051276543537	0.000260592108330267	0.00994826263313496	0.328896889116692
HGS	-0.316565303160923	11.1062289811321	-3.89780020812611	0.000262892168040122	0.00998735003437861	0.3208528122508
UPP1	0.487434876436783	9.88591956603774	3.88665629772011	0.000272548138889542	0.0102590625662935	0.287837973062654
TNPO1	0.323538537356319	8.21688160377358	3.88652250596748	0.000272666114718763	0.0102590625662935	0.287441919980909
IL18R1	0.610230084770113	7.56310618867925	3.87886475072903	0.000279501138083632	0.0104657498897886	0.264785848886915
KLF11	-0.286544505747128	7.71937283018868	-3.87739238728099	0.000280834075754615	0.0104657498897886	0.260432582367948
AASDHPPT	-0.257023008620689	8.04656101886792	-3.87142297974598	0.000286301138646353	0.0106189228011676	0.242792515473606
RPS24	0.600516606321829	11.7691656415094	3.8681894589852	0.000289305149723058	0.0106797268949653	0.233243511495163
TGFBR1	0.401849290229879	7.51652071698113	3.85772120086162	0.000299239751597621	0.0109638133113138	0.202359864813967
EXT1	0.358578418103448	8.66212766037736	3.85577285893273	0.000301124629300316	0.0109638133113138	0.196616981843585
PCCB	-0.391765126436784	8.41025928301887	-3.8553832119191	0.000301502951592639	0.0109638133113138	0.195468662585264
TOR1A	0.278114679597703	9.58429341509434	3.85399551298048	0.000302854034137502	0.0109638133113138	0.19137953516425
CKAP5	-0.315533791666669	8.07902222641509	-3.85281747275962	0.000304005556932671	0.0109638133113138	0.187908853753748
SLC29A1	-0.46941549712644	8.06243309433962	-3.837764480469	0.000319095329208496	0.0114552295705766	0.143612811710089
UTRN	-0.281357757183908	8.15837432075472	-3.81872449620621	0.000339215045304687	0.0121219038564132	0.0877240495206593
ATP6V1D	0.261185001436781	9.24055333962264	3.81632413003891	0.000341836416515739	0.012123438383238	0.0806893016045001
GAK	-0.251907761494255	9.37263809433962	-3.81585023980417	0.000342356233413698	0.012123438383238	0.0793007681593876
UCP2	-0.589110886494254	10.2936928490566	-3.81075046591832	0.000347998513136494	0.0122663628899132	0.0643642300341041
MTHFS	0.339955265804598	8.78118271698113	3.80711380228967	0.000352076475259493	0.0122663628899132	0.0537198543414101
RB1	-0.309103251436782	7.04486149056604	-3.80630603824913	0.000352988467558013	0.0122663628899132	0.0513563420602159
VPS52	-0.329982742816096	9.01124911320755	-3.80552120278995	0.000353876745323884	0.0122663628899132	0.0490601912152702
RIT1	0.369415181034485	8.71276858490566	3.8045939686086	0.000354928956254699	0.0122663628899132	0.0463477783884256
SLC22A1	0.243924136494252	6.79983213207547	3.80374911422507	0.000355890299084472	0.0122663628899132	0.0438766756426903
TLK2	0.189285337643675	8.74042126415094	3.80245822212515	0.000357364009570689	0.0122663628899132	0.0401015653333507
CPSF1	-0.71311881609196	9.11925624528302	-3.79978676037494	0.000360432440788323	0.0122713805268149	0.0322914024664787
ABL1	-0.288130896551726	8.46311147169811	-3.79960143025951	0.000360646245996348	0.0122713805268149	0.0317496955911345
HPCAL1	-0.293337741379316	10.9336849433962	-3.79558545920428	0.000365309270930695	0.0123631330352843	0.0200149869782518
RRM1	-0.337852530172412	8.08654216981132	-3.79456589988593	0.000366502282671346	0.0123631330352843	0.0170369484550275
RFX5	-0.282011576149429	8.51466232075472	-3.78821533423942	0.000374017866722368	0.0125625056865633	-0.00150220051390981
PHACTR4	-0.54331886494253	7.20982573584906	-3.78475690786838	0.000378172732668006	0.0126477769481189	-0.0115909008208552
ARHGDIA	-0.420118245689654	10.9143236037736	-3.78290610697321	0.00038041439731721	0.0126686088229978	-0.0169877765222539
MAP4K2	-0.495130179597702	9.56103475471698	-3.78038301271925	0.000383490884200461	0.012716947710817	-0.0243426067394958
DNAJA1	0.352185091954025	10.7480477169811	3.77675442157787	0.000387957227184894	0.0128107732487299	-0.0349150416669524
UCKL1	-0.272296964080462	8.09690911320755	-3.77015287057332	0.000396211225430426	0.0130283573538593	-0.0541347104558509
KHSRP	-0.277471872126437	9.09459022641509	-3.76634339486109	0.000401050642018609	0.0131323109809106	-0.0652167867288753
