Symbol	id	trait	population	Chr	Start	End
ABCB8	eqtl-a-ENSG00000197150	ENSG00000197150	European	7	150725537	150744869
ABCB9	eqtl-a-ENSG00000150967	ENSG00000150967	European	12	123405495	123451010
ABCC1	eqtl-a-ENSG00000103222	ENSG00000103222	European	16	16043473	16236910
ABCC10	eqtl-a-ENSG00000124574	ENSG00000124574	European	6	43395279	43418165
ABCC13	eqtl-a-ENSG00000243064	ENSG00000243064	European	21	15646120	15673707
ABCC2	eqtl-a-ENSG00000023839	ENSG00000023839	European	10	101542397	101612351
ABCC3	eqtl-a-ENSG00000108846	ENSG00000108846	European	17	48712242	48769614
ABCC4	eqtl-a-ENSG00000125257	ENSG00000125257	European	13	95672089	95953705
ABCC5	eqtl-a-ENSG00000114770	ENSG00000114770	European	3	183637722	183735672
ABCC6	eqtl-a-ENSG00000091262	ENSG00000091262	European	16	16243422	16317351
ABCC6P1	eqtl-a-ENSG00000256340	ENSG00000256340	European	16	18582570	18609611
ABCD1	eqtl-a-ENSG00000101986	ENSG00000101986	European	X	152990311	153010209
ABCD2	eqtl-a-ENSG00000173208	ENSG00000173208	European	12	39943835	40013605
ABCD3	eqtl-a-ENSG00000117528	ENSG00000117528	European	1	94883945	94984219
ABCD4	eqtl-a-ENSG00000119688	ENSG00000119688	European	14	74751972	74769637
ABCE1	eqtl-a-ENSG00000164163	ENSG00000164163	European	4	146019463	146050676
ABCF1	eqtl-a-ENSG00000204574	ENSG00000204574	European	6	30539219	30559299
ABCF2	eqtl-a-ENSG00000033050	ENSG00000033050	European	7	150908570	150924291
ABCF3	eqtl-a-ENSG00000161204	ENSG00000161204	European	3	183903987	183911793
ABCG1	eqtl-a-ENSG00000160179	ENSG00000160179	European	21	43619799	43717354
ABCG2	eqtl-a-ENSG00000118777	ENSG00000118777	European	4	89011416	89152778
ABHD1	eqtl-a-ENSG00000143994	ENSG00000143994	European	2	27346683	27353680
ABHD10	eqtl-a-ENSG00000144827	ENSG00000144827	European	3	111697873	111712215
ABHD11	eqtl-a-ENSG00000106077	ENSG00000106077	European	7	73150424	73153132
ABHD12	eqtl-a-ENSG00000100997	ENSG00000100997	European	20	25275379	25371471
ABHD12B	eqtl-a-ENSG00000131969	ENSG00000131969	European	14	51338771	51371688
ABHD13	eqtl-a-ENSG00000139826	ENSG00000139826	European	13	108870740	108886591
ABHD14A	eqtl-a-ENSG00000248487	ENSG00000248487	European	3	52009080	52015212
ABHD14B	eqtl-a-ENSG00000114779	ENSG00000114779	European	3	52002526	52008646
ABHD15	eqtl-a-ENSG00000168792	ENSG00000168792	European	17	27887565	27894055
ABHD16A	eqtl-a-ENSG00000204427	ENSG00000204427	European	6	31654732	31671101
ABHD16B	eqtl-a-ENSG00000183260	ENSG00000183260	European	20	62492851	62494341
ABHD17A	eqtl-a-ENSG00000129968	ENSG00000129968	European	19	1876809	1885495
ABHD17AP6	eqtl-a-ENSG00000226981	ENSG00000226981	European	17	20744000	20747792
ABHD17B	eqtl-a-ENSG00000107362	ENSG00000107362	European	9	74477368	74526109
ABHD17C	eqtl-a-ENSG00000136379	ENSG00000136379	European	15	80987651	81047962
ABHD18	eqtl-a-ENSG00000164074	ENSG00000164074	European	4	128886561	128961108
ABHD2	eqtl-a-ENSG00000140526	ENSG00000140526	European	15	89631687	89745586
ABHD3	eqtl-a-ENSG00000158201	ENSG00000158201	European	18	19230862	19284735
ABHD4	eqtl-a-ENSG00000100439	ENSG00000100439	European	14	23067209	23081869
ABHD5	eqtl-a-ENSG00000011198	ENSG00000011198	European	3	43732362	43775863
ABHD6	eqtl-a-ENSG00000163686	ENSG00000163686	European	3	58223519	58280461
ABHD8	eqtl-a-ENSG00000127220	ENSG00000127220	European	19	17402940	17414234
ABI1	eqtl-a-ENSG00000136754	ENSG00000136754	European	10	27035525	27149887
ABI2	eqtl-a-ENSG00000138443	ENSG00000138443	European	2	204193117	204296892
ABI3	eqtl-a-ENSG00000108798	ENSG00000108798	European	17	47288069	47300587
ABI3BP	eqtl-a-ENSG00000154175	ENSG00000154175	European	3	100468000	100712265
ABITRAM	eqtl-a-ENSG00000119328	ENSG00000119328	European	9	111696680	111703234
ABL1	eqtl-a-ENSG00000097007	ENSG00000097007	European	9	133588430	133763062
ABL2	eqtl-a-ENSG00000143322	ENSG00000143322	European	1	179068465	179198812
ABLIM1	eqtl-a-ENSG00000099204	ENSG00000099204	European	10	116190869	116528063
ABLIM2	eqtl-a-ENSG00000163995	ENSG00000163995	European	4	7967054	8160540
ABLIM3	eqtl-a-ENSG00000173210	ENSG00000173210	European	5	148521056	148640105
ABO	eqtl-a-ENSG00000175164	ENSG00000175164	European	9	136125788	136150617
ABR	eqtl-a-ENSG00000159842	ENSG00000159842	European	17	906759	1133016
ABRACL	eqtl-a-ENSG00000146386	ENSG00000146386	European	6	139349882	139364439
ABRAXAS1	eqtl-a-ENSG00000163322	ENSG00000163322	European	4	84380670	84406253
ABRAXAS2	eqtl-a-ENSG00000165660	ENSG00000165660	European	10	126490388	126525236
ABT1	eqtl-a-ENSG00000146109	ENSG00000146109	European	6	26597181	26600967
ABTB1	eqtl-a-ENSG00000114626	ENSG00000114626	European	3	127391795	127399769
ABTB2	eqtl-a-ENSG00000166016	ENSG00000166016	European	11	34172534	34379557
ACAA1	eqtl-a-ENSG00000060971	ENSG00000060971	European	3	38164206	38178618
ACAA2	eqtl-a-ENSG00000167315	ENSG00000167315	European	18	47308534	47339903
ACAA2P1	eqtl-a-ENSG00000233585	ENSG00000233585	European	X	48634212	48635407
ACACB	eqtl-a-ENSG00000076555	ENSG00000076555	European	12	109554392	109706031
ACAD10	eqtl-a-ENSG00000111271	ENSG00000111271	European	12	112123857	112194903
ACAD8	eqtl-a-ENSG00000151498	ENSG00000151498	European	11	134123462	134135749
ACAD9	eqtl-a-ENSG00000177646	ENSG00000177646	European	3	128598463	128631957
ACADM	eqtl-a-ENSG00000117054	ENSG00000117054	European	1	76190394	76229364
ACADS	eqtl-a-ENSG00000122971	ENSG00000122971	European	12	121163629	121177811
ACADSB	eqtl-a-ENSG00000196177	ENSG00000196177	European	10	124768522	124817806
ACADVL	eqtl-a-ENSG00000072778	ENSG00000072778	European	17	7120444	7128585
ACAP1	eqtl-a-ENSG00000072818	ENSG00000072818	European	17	7239848	7254796
ACAP2	eqtl-a-ENSG00000114331	ENSG00000114331	European	3	194995474	195163749
ACAP3	eqtl-a-ENSG00000131584	ENSG00000131584	European	1	1227771	1243310
ACAT1	eqtl-a-ENSG00000075239	ENSG00000075239	European	11	107987432	108018330
ACAT2	eqtl-a-ENSG00000120437	ENSG00000120437	European	6	160183077	160200144
ACBD3	eqtl-a-ENSG00000182827	ENSG00000182827	European	1	226332380	226374442
ACBD4	eqtl-a-ENSG00000181513	ENSG00000181513	European	17	43209986	43221543
ACBD5	eqtl-a-ENSG00000107897	ENSG00000107897	European	10	27471767	27531040
ACBD6	eqtl-a-ENSG00000230124	ENSG00000230124	European	1	180257365	180471712
ACCS	eqtl-a-ENSG00000110455	ENSG00000110455	European	11	44087820	44105787
ACD	eqtl-a-ENSG00000102977	ENSG00000102977	European	16	67691415	67694163
ACE	eqtl-a-ENSG00000159640	ENSG00000159640	European	17	61554422	61575734
ACER1	eqtl-a-ENSG00000167769	ENSG00000167769	European	19	6306153	6333623
ACER2	eqtl-a-ENSG00000177076	ENSG00000177076	European	9	19409007	19452503
ACER3	eqtl-a-ENSG00000078124	ENSG00000078124	European	11	76571962	76737841
ACHE	eqtl-a-ENSG00000087085	ENSG00000087085	European	7	100487615	100494614
ACIN1	eqtl-a-ENSG00000100813	ENSG00000100813	European	14	23527773	23564823
ACKR1	eqtl-a-ENSG00000213088	ENSG00000213088	European	1	159174665	159176290
ACKR2	eqtl-a-ENSG00000144648	ENSG00000144648	European	3	42850937	42908778
ACKR3	eqtl-a-ENSG00000144476	ENSG00000144476	European	2	237478468	237490997
ACLY	eqtl-a-ENSG00000131473	ENSG00000131473	European	17	40023170	40075275
ACMSD	eqtl-a-ENSG00000153086	ENSG00000153086	European	2	135596186	135659604
ACO1	eqtl-a-ENSG00000122729	ENSG00000122729	European	9	32384641	32454767
ACO2	eqtl-a-ENSG00000100412	ENSG00000100412	European	22	41865121	41924978
ACOD1	eqtl-a-ENSG00000102794	ENSG00000102794	European	13	77522646	77532773
ACOT1	eqtl-a-ENSG00000184227	ENSG00000184227	European	14	74003847	74010500
ACOT11	eqtl-a-ENSG00000162390	ENSG00000162390	European	1	55013901	55104865
ACOT13	eqtl-a-ENSG00000112304	ENSG00000112304	European	6	24667305	24705274
ACOT2	eqtl-a-ENSG00000119673	ENSG00000119673	European	14	74034324	74042362
ACOT4	eqtl-a-ENSG00000177465	ENSG00000177465	European	14	74058577	74062470
ACOT7	eqtl-a-ENSG00000097021	ENSG00000097021	European	1	6324332	6453827
ACOT8	eqtl-a-ENSG00000101473	ENSG00000101473	European	20	44470360	44486031
ACOT9	eqtl-a-ENSG00000123130	ENSG00000123130	European	X	23719172	23761393
ACOX1	eqtl-a-ENSG00000161533	ENSG00000161533	European	17	73937588	73975247
ACOX2	eqtl-a-ENSG00000168306	ENSG00000168306	European	3	58490863	58522917
ACOX3	eqtl-a-ENSG00000087008	ENSG00000087008	European	4	8368009	8442450
ACOXL	eqtl-a-ENSG00000153093	ENSG00000153093	European	2	111490150	111876125
ACP1	eqtl-a-ENSG00000143727	ENSG00000143727	European	2	264947	278283
ACP2	eqtl-a-ENSG00000134575	ENSG00000134575	European	11	47260853	47270365
ACP3	eqtl-a-ENSG00000014257	ENSG00000014257	European	3	132036251	132087146
ACP5	eqtl-a-ENSG00000102575	ENSG00000102575	European	19	11685475	11689790
ACP6	eqtl-a-ENSG00000162836	ENSG00000162836	European	1	147114029	147142646
ACRBP	eqtl-a-ENSG00000111644	ENSG00000111644	European	12	6747241	6756598
ACSBG1	eqtl-a-ENSG00000103740	ENSG00000103740	European	15	78459810	78526907
ACSF2	eqtl-a-ENSG00000167107	ENSG00000167107	European	17	48503579	48552206
ACSF3	eqtl-a-ENSG00000176715	ENSG00000176715	European	16	89160260	89222641
ACSL1	eqtl-a-ENSG00000151726	ENSG00000151726	European	4	185676749	185747122
ACSL3	eqtl-a-ENSG00000123983	ENSG00000123983	European	2	223725754	223809357
ACSL4	eqtl-a-ENSG00000068366	ENSG00000068366	European	X	108884564	108976486
ACSL5	eqtl-a-ENSG00000197142	ENSG00000197142	European	10	114133874	114188134
ACSL6	eqtl-a-ENSG00000164398	ENSG00000164398	European	5	131285666	131347761
ACSM1	eqtl-a-ENSG00000166743	ENSG00000166743	European	16	20634557	20709002
ACSM3	eqtl-a-ENSG00000005187	ENSG00000005187	European	16	20775336	20808903
ACSS1	eqtl-a-ENSG00000154930	ENSG00000154930	European	20	24986873	25038775
ACSS2	eqtl-a-ENSG00000131069	ENSG00000131069	European	20	33462792	33515762
ACSS3	eqtl-a-ENSG00000111058	ENSG00000111058	European	12	81471858	81654989
ACTA1	eqtl-a-ENSG00000143632	ENSG00000143632	European	1	229566992	229569841
ACTA2	eqtl-a-ENSG00000107796	ENSG00000107796	European	10	90694831	90751154
ACTA2-AS1	eqtl-a-ENSG00000180139	ENSG00000180139	European	10	90692441	90699731
ACTB	eqtl-a-ENSG00000075624	ENSG00000075624	European	7	5566779	5570232
ACTBP12	eqtl-a-ENSG00000233125	ENSG00000233125	European	1	92694559	92694992
ACTBP14	eqtl-a-ENSG00000229001	ENSG00000229001	European	10	70782546	70783650
ACTBP2	eqtl-a-ENSG00000213763	ENSG00000213763	European	5	77080627	77082421
ACTBP8	eqtl-a-ENSG00000220267	ENSG00000220267	European	6	88985024	88986792
ACTG1	eqtl-a-ENSG00000184009	ENSG00000184009	European	17	79476997	79479825
ACTG1P1	eqtl-a-ENSG00000178631	ENSG00000178631	European	3	139212585	139214524
ACTG1P10	eqtl-a-ENSG00000231340	ENSG00000231340	European	X	53170870	53173166
ACTG1P12	eqtl-a-ENSG00000226642	ENSG00000226642	European	3	12111655	12113060
ACTG1P14	eqtl-a-ENSG00000230581	ENSG00000230581	European	9	6834408	6835584
ACTG1P16	eqtl-a-ENSG00000260298	ENSG00000260298	European	16	50091867	50093212
ACTG1P17	eqtl-a-ENSG00000259315	ENSG00000259315	European	15	83394632	83408532
ACTG1P20	eqtl-a-ENSG00000241547	ENSG00000241547	European	1	27650365	27653016
ACTG1P23	eqtl-a-ENSG00000230362	ENSG00000230362	European	3	175695274	175696363
ACTG1P25	eqtl-a-ENSG00000234996	ENSG00000234996	European	1	202830882	202844369
ACTG1P3	eqtl-a-ENSG00000215388	ENSG00000215388	European	20	1141156	1142839
ACTG1P9	eqtl-a-ENSG00000229349	ENSG00000229349	European	6	46172649	46174298
ACTG2	eqtl-a-ENSG00000163017	ENSG00000163017	European	2	74120135	74146992
ACTL6A	eqtl-a-ENSG00000136518	ENSG00000136518	European	3	179280714	179306195
ACTN1	eqtl-a-ENSG00000072110	ENSG00000072110	European	14	69340845	69446019
ACTN1-DT	eqtl-a-ENSG00000259062	ENSG00000259062	European	14	69446399	69454180
ACTN3	eqtl-a-ENSG00000248746	ENSG00000248746	European	11	66313866	66330805
ACTN4	eqtl-a-ENSG00000130402	ENSG00000130402	European	19	39138289	39222229
ACTN4P1	eqtl-a-ENSG00000213493	ENSG00000213493	European	4	117519316	117520964
ACTR10	eqtl-a-ENSG00000131966	ENSG00000131966	European	14	58666867	58702354
ACTR1A	eqtl-a-ENSG00000138107	ENSG00000138107	European	10	104238986	104262469
ACTR1B	eqtl-a-ENSG00000115073	ENSG00000115073	European	2	98272402	98280507
ACTR2	eqtl-a-ENSG00000138071	ENSG00000138071	European	2	65454965	65498387
ACTR3	eqtl-a-ENSG00000115091	ENSG00000115091	European	2	114647511	114720173
ACTR3-AS1	eqtl-a-ENSG00000228857	ENSG00000228857	European	2	114588760	114648569
ACTR3B	eqtl-a-ENSG00000133627	ENSG00000133627	European	7	152456837	152552463
ACTR3C	eqtl-a-ENSG00000106526	ENSG00000106526	European	7	149578449	150020634
ACTR5	eqtl-a-ENSG00000101442	ENSG00000101442	European	20	37377103	37401163
ACTR6	eqtl-a-ENSG00000075089	ENSG00000075089	European	12	100594593	100618202
ACTR8	eqtl-a-ENSG00000113812	ENSG00000113812	European	3	53901093	53916179
ACVR1	eqtl-a-ENSG00000115170	ENSG00000115170	European	2	158592958	158732842
ACVR1B	eqtl-a-ENSG00000135503	ENSG00000135503	European	12	52345483	52390862
ACVR1C	eqtl-a-ENSG00000123612	ENSG00000123612	European	2	158383279	158485376
ACVR2A	eqtl-a-ENSG00000121989	ENSG00000121989	European	2	148602086	148688391
ACVR2B	eqtl-a-ENSG00000114739	ENSG00000114739	European	3	38495381	38534633
ACVR2B-AS1	eqtl-a-ENSG00000229589	ENSG00000229589	European	3	38492518	38496311
ACVRL1	eqtl-a-ENSG00000139567	ENSG00000139567	European	12	52301288	52317145
ACY1	eqtl-a-ENSG00000243989	ENSG00000243989	European	3	52017551	52023213
ACY3	eqtl-a-ENSG00000132744	ENSG00000132744	European	11	67410026	67418201
ACYP1	eqtl-a-ENSG00000119640	ENSG00000119640	European	14	75519946	75536193
ACYP2	eqtl-a-ENSG00000170634	ENSG00000170634	European	2	54198250	54532437
ADA	eqtl-a-ENSG00000196839	ENSG00000196839	European	20	43248163	43280340
ADA2	eqtl-a-ENSG00000093072	ENSG00000093072	European	22	17659680	17702738
ADAL	eqtl-a-ENSG00000168803	ENSG00000168803	European	15	43622549	43646767
ADAM10	eqtl-a-ENSG00000137845	ENSG00000137845	European	15	58881008	59041906
ADAM11	eqtl-a-ENSG00000073670	ENSG00000073670	European	17	42836356	42859214
ADAM12	eqtl-a-ENSG00000148848	ENSG00000148848	European	10	127700960	128077046
ADAM15	eqtl-a-ENSG00000143537	ENSG00000143537	European	1	155023792	155035251
ADAM17	eqtl-a-ENSG00000151694	ENSG00000151694	European	2	9628615	9695959
ADAM19	eqtl-a-ENSG00000135074	ENSG00000135074	European	5	156904312	157002783
ADAM1A	eqtl-a-ENSG00000229186	ENSG00000229186	European	12	112336867	112339706
ADAM1B	eqtl-a-ENSG00000226469	ENSG00000226469	European	12	112364998	112366738
ADAM22	eqtl-a-ENSG00000008277	ENSG00000008277	European	7	87563566	87832204
ADAM23	eqtl-a-ENSG00000114948	ENSG00000114948	European	2	207308256	207485851
ADAM28	eqtl-a-ENSG00000042980	ENSG00000042980	European	8	24151582	24216527
ADAM29	eqtl-a-ENSG00000168594	ENSG00000168594	European	4	175839509	175899331
ADAM8	eqtl-a-ENSG00000151651	ENSG00000151651	European	10	135075927	135090372
ADAM9	eqtl-a-ENSG00000168615	ENSG00000168615	European	8	38854492	38962780
ADAMDEC1	eqtl-a-ENSG00000134028	ENSG00000134028	European	8	24241798	24263526
ADAMTS1	eqtl-a-ENSG00000154734	ENSG00000154734	European	21	28208074	28217728
ADAMTS10	eqtl-a-ENSG00000142303	ENSG00000142303	European	19	8645124	8675600
ADAMTS13	eqtl-a-ENSG00000160323	ENSG00000160323	European	9	136279457	136324508
ADAMTS14	eqtl-a-ENSG00000138316	ENSG00000138316	European	10	72432262	72522197
ADAMTS17	eqtl-a-ENSG00000140470	ENSG00000140470	European	15	100511642	100882180
ADAMTS2	eqtl-a-ENSG00000087116	ENSG00000087116	European	5	178537854	178772462
ADAMTS4	eqtl-a-ENSG00000158859	ENSG00000158859	European	1	161154092	161168844
ADAMTS5	eqtl-a-ENSG00000154736	ENSG00000154736	European	21	28290241	28339407
ADAMTS6	eqtl-a-ENSG00000049192	ENSG00000049192	European	5	64444565	64777747
ADAMTS7P4	eqtl-a-ENSG00000218052	ENSG00000218052	European	15	85798600	85814085
ADAMTS8	eqtl-a-ENSG00000134917	ENSG00000134917	European	11	130274818	130298504
ADAMTSL2	eqtl-a-ENSG00000197859	ENSG00000197859	European	9	136397286	136440641
ADAMTSL4	eqtl-a-ENSG00000143382	ENSG00000143382	European	1	150521884	150533413
ADAMTSL4-AS1	eqtl-a-ENSG00000203804	ENSG00000203804	European	1	150533371	150547028
ADAMTSL5	eqtl-a-ENSG00000185761	ENSG00000185761	European	19	1505021	1513018
ADAP1	eqtl-a-ENSG00000105963	ENSG00000105963	European	7	937537	995043
ADAP2	eqtl-a-ENSG00000184060	ENSG00000184060	European	17	29248963	29286340
ADAR	eqtl-a-ENSG00000160710	ENSG00000160710	European	1	154554533	154600473
ADARB1	eqtl-a-ENSG00000197381	ENSG00000197381	European	21	46494493	46646478
ADARB2	eqtl-a-ENSG00000185736	ENSG00000185736	European	10	1223253	1779719
ADAT1	eqtl-a-ENSG00000065457	ENSG00000065457	European	16	75630766	75657179
ADAT2	eqtl-a-ENSG00000189007	ENSG00000189007	European	6	143743969	143771832
ADAT3	eqtl-a-ENSG00000213638	ENSG00000213638	European	19	1905398	1913446
ADCK1	eqtl-a-ENSG00000063761	ENSG00000063761	European	14	78266452	78401357
ADCK2	eqtl-a-ENSG00000133597	ENSG00000133597	European	7	140372745	140394910
ADCK5	eqtl-a-ENSG00000173137	ENSG00000173137	European	8	145597736	145618457
ADCY10	eqtl-a-ENSG00000143199	ENSG00000143199	European	1	167778623	167883372
ADCY10P1	eqtl-a-ENSG00000161912	ENSG00000161912	European	6	41068773	41108573
ADCY3	eqtl-a-ENSG00000138031	ENSG00000138031	European	2	25042038	25143106
ADCY4	eqtl-a-ENSG00000129467	ENSG00000129467	European	14	24787565	24804277
ADCY5	eqtl-a-ENSG00000173175	ENSG00000173175	European	3	123001143	123167937
ADCY6	eqtl-a-ENSG00000174233	ENSG00000174233	European	12	49159977	49182872
ADCY7	eqtl-a-ENSG00000121281	ENSG00000121281	European	16	50300462	50352046
ADCY9	eqtl-a-ENSG00000162104	ENSG00000162104	European	16	4012654	4166443
ADD1	eqtl-a-ENSG00000087274	ENSG00000087274	European	4	2845571	2931789
ADD2	eqtl-a-ENSG00000075340	ENSG00000075340	European	2	70883916	70995332
ADD3	eqtl-a-ENSG00000148700	ENSG00000148700	European	10	111756131	111895323
ADD3-AS1	eqtl-a-ENSG00000203876	ENSG00000203876	European	10	111705317	111768139
ADGRA2	eqtl-a-ENSG00000020181	ENSG00000020181	European	8	37654401	37702414
ADGRA3	eqtl-a-ENSG00000152990	ENSG00000152990	European	4	22388999	22517689
ADGRB1	eqtl-a-ENSG00000181790	ENSG00000181790	European	8	143531010	143626368
ADGRB2	eqtl-a-ENSG00000121753	ENSG00000121753	European	1	32192718	32229941
ADGRB3-DT	eqtl-a-ENSG00000230910	ENSG00000230910	European	6	69342555	69344216
ADGRD1	eqtl-a-ENSG00000111452	ENSG00000111452	European	12	131438452	131626014
ADGRE1	eqtl-a-ENSG00000174837	ENSG00000174837	European	19	6887590	6940461
ADGRE2	eqtl-a-ENSG00000127507	ENSG00000127507	European	19	14843204	14889372
ADGRE3	eqtl-a-ENSG00000131355	ENSG00000131355	European	19	14729929	14785656
ADGRE4P	eqtl-a-ENSG00000268758	ENSG00000268758	European	19	6950769	6997862
ADGRE5	eqtl-a-ENSG00000123146	ENSG00000123146	European	19	14491956	14519537
ADGRF3	eqtl-a-ENSG00000173567	ENSG00000173567	European	2	26531041	26569657
ADGRG1	eqtl-a-ENSG00000205336	ENSG00000205336	European	16	57653650	57699479
ADGRG2	eqtl-a-ENSG00000173698	ENSG00000173698	European	X	19007425	19140586
ADGRG3	eqtl-a-ENSG00000182885	ENSG00000182885	European	16	57702218	57723290
ADGRG5	eqtl-a-ENSG00000159618	ENSG00000159618	European	16	57576555	57611101
ADGRG6	eqtl-a-ENSG00000112414	ENSG00000112414	European	6	142623144	142767398
ADGRG7	eqtl-a-ENSG00000144820	ENSG00000144820	European	3	100328445	100414323
ADGRL1	eqtl-a-ENSG00000072071	ENSG00000072071	European	19	14258555	14316981
ADGRL1-AS1	eqtl-a-ENSG00000267169	ENSG00000267169	European	19	14247964	14282076
ADGRV1	eqtl-a-ENSG00000164199	ENSG00000164199	European	5	89854614	90460254
ADH5	eqtl-a-ENSG00000197894	ENSG00000197894	European	4	99992129	100009939
ADHFE1	eqtl-a-ENSG00000147576	ENSG00000147576	European	8	67344739	67381142
ADI1	eqtl-a-ENSG00000182551	ENSG00000182551	European	2	3501137	3523302
ADIPOR1	eqtl-a-ENSG00000159346	ENSG00000159346	European	1	202909953	202927700
ADIPOR2	eqtl-a-ENSG00000006831	ENSG00000006831	European	12	1800236	1897840
ADIRF	eqtl-a-ENSG00000148671	ENSG00000148671	European	10	88728239	88730672
ADK	eqtl-a-ENSG00000156110	ENSG00000156110	European	10	75910979	76469048
ADM	eqtl-a-ENSG00000148926	ENSG00000148926	European	11	10326620	10328944
ADM2	eqtl-a-ENSG00000128165	ENSG00000128165	European	22	50919972	50924866
ADM5	eqtl-a-ENSG00000224420	ENSG00000224420	European	19	50192851	50193832
ADNP	eqtl-a-ENSG00000101126	ENSG00000101126	European	20	49505455	49547974
ADNP-AS1	eqtl-a-ENSG00000259456	ENSG00000259456	European	20	49547521	49561671
ADNP2	eqtl-a-ENSG00000101544	ENSG00000101544	European	18	77867146	77898229
ADO	eqtl-a-ENSG00000181915	ENSG00000181915	European	10	64564480	64568239
ADORA1	eqtl-a-ENSG00000163485	ENSG00000163485	European	1	203096854	203136533
ADORA2A	eqtl-a-ENSG00000128271	ENSG00000128271	European	22	24819565	24838325
ADORA2A-AS1	eqtl-a-ENSG00000178803	ENSG00000178803	European	22	24825174	24891042
ADORA2B	eqtl-a-ENSG00000170425	ENSG00000170425	European	17	15848444	15879060
ADPGK	eqtl-a-ENSG00000159322	ENSG00000159322	European	15	73043635	73076099
ADPGK-AS1	eqtl-a-ENSG00000260898	ENSG00000260898	European	15	73075176	73090540
ADPRH	eqtl-a-ENSG00000144843	ENSG00000144843	European	3	119298339	119308792
ADPRHL1	eqtl-a-ENSG00000153531	ENSG00000153531	European	13	114053925	114107803
ADPRM	eqtl-a-ENSG00000170222	ENSG00000170222	European	17	10600911	10614875
ADPRS	eqtl-a-ENSG00000116863	ENSG00000116863	European	1	36554493	36559533
ADRA2A	eqtl-a-ENSG00000150594	ENSG00000150594	European	10	112836787	112840665
ADRB1	eqtl-a-ENSG00000043591	ENSG00000043591	European	10	115803625	115806663
