id	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils
GSE15573_GSM389722_Treat	0.000946951712108394	0.0102125493027155	0	0.0590501816336888	0	0	0	0	0.0559297576493655	0	0.037366532881748	0	0.182768661913667	0.231435687454042	0	0	0	0.00768307331777854	0	0.0422081482370553	0	0.372398455897831
GSE15573_GSM389724_Treat	0.0554051097747989	0	0	0.0696116101233977	0.0782123166131545	0	0	0	0.0985121550536929	0	0.0423874581907438	0	0.329054740240128	0.134108903560105	0	0	0	0	0	0.012073800772482	0	0.180633905671496
GSE15573_GSM389726_Treat	0.000899752201667354	0.0552196125560042	0	0.11365853429804	0.0521509530763217	0	0	0	0.0243656285181905	0.00470564099141989	0.0370988402079256	0.0177963900884938	0.180578397572091	0.18034374570646	0	0.0313749651345544	0	0.010535897876795	0	0.00888374999795306	0	0.282387891774084
GSE15573_GSM389727_Treat	0.0233059645311236	0.0646791304047182	0	0.103635650909916	0.0560629603110113	0	0	0	0.130892835068862	0	0.0498751246728435	0.0329031609529898	0.262481831775369	0.0605981831029236	0.000245708511717383	0	0	0.0118620498268988	0	0.00164856641592729	0	0.2018088335157
GSE15573_GSM389730_Treat	0.0354838414465432	0.00903450713833286	0	0.10544717469512	0.0521709414403859	0	0	0	0.123562457848297	0	0.125002965065798	0	0.266601233954628	0.14766356894385	0	0	0	0.00267390094062023	0	0.0245566503880211	0	0.107802758138404
GSE15573_GSM389731_Treat	0.0171366726159433	0	0	0.0275319993095801	0.0185188905479477	0	0	0.00418100065370645	0.0316520003054332	0	0.0363556026360428	0	0.313667058668659	0.161148089079546	0	0	0	0.0126927528500177	0	0.0131937557362954	0	0.363922177596829
GSE15573_GSM389733_Treat	0.106546068683295	0.0332885813261285	0	0.114717076617973	0.20253815677817	0.14402024779714	0	0	0.0364454132087869	0	0	0.0216001819747699	0.108535534390482	0	0	0.0082733769001447	0	0.0232576720774067	0	0	0	0.200777690245703
GSE15573_GSM389735_Treat	0.00842681271424727	0.0222145006739271	0	0.0543869530867151	0.0527080861895811	0	0	0	0.127502533736053	0	0.0558786059276977	0	0.199408180162033	0.146175708798246	0	0	0	0.0217463993722848	0	0.0786902380176023	0	0.232861981321614
GSE7669_GSM185531_Control	0.0188797536907205	0.0270216237142727	0	0.14472064395413	0.00754679740103384	0	0	0	0.0763936932522168	0	0.101452406387122	0	0.309437183238957	0.0906623640448969	0	0	0	0.0281176693214835	0	0.0126642864072513	0	0.183103578587916
GSE7669_GSM185532_Control	0.0219376211799301	6.49353433369182e-05	0	0.113487280346914	0.0282669229480092	0	0	0	0.109578279886363	0	0.0638864810969457	0.0351250384250121	0.363394638253587	0.0683545849940838	0	0	0	0.0136365389140252	0.0535448718941267	0	0	0.128722806717666
GSE7669_GSM185533_Control	0.0305934030674346	0	0	0.0711780213656849	0.0465817449362364	0	0	0	0.127040993217862	0	0.0638637294839716	0.0153574172977441	0.134251221556438	0.131118113289633	0.0140695276256798	0	0	0.0603389006280857	0	0.0956392513587893	0	0.209967676172441
GSE7669_GSM185534_Control	0.0327725047455996	0	0	0.141314011774165	0.0265311060040541	0	0	0	0.0939605884205926	0	0.0129457620672042	0.019934699332623	0.343687704187737	0.0537356964213723	0	0	0	0.0340341527291075	0	0.0875576434309209	0	0.153526130886624
GSE7669_GSM185535_Control	0.0116188409431272	0.0751455720962897	0	0.0639399167141648	0.0722091452420151	0	0	0	0.0549806012603386	0	0.0830725593465668	0.00737708271490107	0.147808683950727	0.152179592354804	0	0	0	0.0391787773822689	0.0430844302917022	0	0	0.249404797703094
GSE7669_GSM185536_Control	0.014315259247018	0.0563296412959383	0	0.153075589548634	0.0329812373010818	0	0	0	0.177366680701277	0	0.0839640895299142	0.00732578171321294	0.233909421957726	0.0471902591382665	0	0	0.00369590062960784	0.00587013993165537	0.0104066451701339	0	0	0.173569353835535
GSE7669_GSM183695_Treat	0.0416620752971823	0	0	0.145087835513377	0	0	0	0	0.117683224078589	0	0.0477544101230189	0.0250509405499133	0.224926208320279	0.150562308746953	0	0	0	0.0184106140254027	0	0.0746822107485018	0	0.154180172596783
GSE7669_GSM185526_Treat	0.0173605761562154	0.000985514983952931	0	0.110270994269097	0.0406349234363892	0.02447606417471	0	0	0.0346085056958328	0	0.0542198272510832	0.0190472860098793	0.223091673194537	0.174551589330388	0	0	0	0.0324383852939002	0	0.0754202150964016	0	0.192894445107613
GSE7669_GSM185527_Treat	0.000232553852175874	0.0483743313861007	0	0.260547099920433	0.0231842063662839	0	0	0.0108491385914138	0.1092587712898	0	0.0360613808368423	0.0308728806047891	0.278705404005166	0.0733154887491151	0	0	0	0.0043522907242407	0.00898843495591744	0	0	0.115258018717722
GSE7669_GSM185528_Treat	0.0148702007852628	0.00866068489036266	0	0.0940624138274301	0.102783886589038	0	0	0	0.1596017241094	0.00612566483738244	0.0176714300146567	0.0121759852481604	0.272057951740687	0.0230270447906042	0	0	0	0	0.0325827741122865	0	0	0.256380239054729
GSE7669_GSM185529_Treat	0.0236058782457407	0.0394354083464123	0	0.178767017790501	0.0182995220024319	0	0	0	0.110581705168896	0	0.0678062518884624	0.00583499907133224	0.255218136523778	0.0608156062549686	0	0.000985854561577013	0	0.0078644772535898	0.0103632836556242	0	0	0.220421859236686
GSE7669_GSM185530_Treat	0.00768507672579252	0.012859329964081	0	0.0866187790505546	0.0434294540138735	0.0645078585233695	0	0	0.0418708257073366	0	0.096468255502377	0	0.216467716835972	0.0686830273564204	0.00187885588745247	0	0	0.0309112028939549	0	0.172386207122862	0	0.156233410415953
